how it appears in ARC file,id,first_name,last_name,link,company,start,end,,
鳥居清忠 Torii Kiyotada I,kiyotada_torii,鳥居 (Torii),清忠 (Kiyotada),https://www.wikidata.org/wiki/Q11674929,,1713-01-01T00:00:00Z,1748-12-31T23:59:59Z,,
孝暁 | Nagashima Kōgyō; 永島孝暁,kogyo_nagashima,永島 (Nagashima),孝暁 (Kōgyō),,,,,,
司馬江漢 | Shiba Kōkan,kokan_shiba,司馬 (Shiba),江漢 (Kōkan),https://www.wikidata.org/wiki/Q652953,,1747-01-01T00:00:00Z,1818-11-19T00:00:00Z,,
高橋広湖,koko_takahashi,高橋 (Takahashi),広湖 (Kōko),https://www.wikidata.org/wiki/Q47470121,,1875-01-01T00:00:00Z,1912-06-02T23:59:59Z,,
尾形光琳 Ogata Kōrin,korin_ogata,尾形 (Ogata),光琳 (Kōrin),https://www.wikidata.org/wiki/Q952938,,1658-01-01T00:00:00Z,1716-12-31T23:59:59Z,,
礒田湖龍斎 Isoda Koryūsai,koryusai_isoda,礒田 (Isoda),湖龍斎 (Koryūsai),https://www.wikidata.org/wiki/Q3155497,,1735-01-01T00:00:00Z,1790-12-31T23:59:59Z,,
歌川国明 Utagawa Kuniaki,kuniaki_utagawa_1,歌川 (Utagawa),国明 (Kuniaki) 初代 (I),https://www.wikidata.org/wiki/Q11545128,,1840-01-01T00:00:00Z,1870-12-21:23:59:59Z,,
歌川国明 Utagawa Kuniaki II,kuniaki_utagawa_2,歌川 (Utagawa),国明 (Kuniaki)  二代目 (II),https://www.wikidata.org/wiki/Q11545129,,1835-01-01T00:00:00Z,1888-12-31T23:59:59Z,,
国周 | Toyohara　Kunichika,kunichika_toyohara,豊原 (Toyohara),国周 (Kunichika),https://www.wikidata.org/wiki/Q2738241,,1835-06-30T00:00:00Z,1900-07-01T00:00:00Z,,
歌川国員 Utagawa Kunichika,kunichika_utagawa_1,歌川 (Utagawa),国員 (Kunichika) 初代 (I),https://www.wikidata.org/wiki/Q82572980,,1835-01-01T00:00:00Z,1900-12-31T23:59:59Z,,
国春,kuniharu_utagawa,歌川 (Utagawa),国春 (Kuniharu),https://www.wikidata.org/wiki/Q11545130,,1803-01-01T00:00:00Z,1839-12-01T23:59:59Z,,
歌川国久 Utagawa Kunihisa,kunihisa_utagawa,歌川 (Utagawa),国尚 (Kunihisa),https://www.wikidata.org/wiki/Q11545115,,1801-01-01T00:00:00Z,1818-12-31T23:59:59Z,,
二代目 歌川国久 Utagawa Kunihisa II,kunihisa_utagawa_2,歌川 (Utagawa),国尚 (Kunihisa) 二代目 (II),https://www.wikidata.org/wiki/Q11545116,,1832-01-01T00:00:00Z,1891-12-31T23:59:59Z,,
歌川国丸 Utagawa Kunimaru,kunimaru_utagawa_2,歌川 (Utagawa),国丸 (Kunimaru),https://www.wikidata.org/wiki/Q11545114,,1793-01-01T00:00:00Z,1829-12-31T23:59:59Z,,
歌川国政 Utagawa Kunimasa,kunimasa_utagawa,歌川 (Utagawa),国政 (Kunimasa),https://www.wikidata.org/wiki/Q3136181,,1773-01-01T00:00:00Z,1810-12-31T23:59:59Z,,
歌川貞升 Utagawa Kunimasu,kunimasu_utagawa,歌川 (Utagawa),貞升 (Kunimasu),https://www.wikidata.org/wiki/Q3075025,,1826-01-01T00:00:00Z,1852-12-31T23:59:59Z,,
国松 Utagawa Kunimatsu,kunimatsu_utagawa,歌川 (Utagawa),国松 (Kunimatsu),https://www.wikidata.org/wiki/Q11545134,,1855-01-01T00:00:00Z,1944-12-31T23:59:59Z,,
歌川国長 Utagawa Kuninaga,kuninaga_utagawa,歌川 (Utagawa),国長 (Kuninaga),https://www.wikidata.org/wiki/Q11545149,,1801-01-01T00:00:00Z,1818-12-31T23:59:59Z,,
歌川国直 Utagawa Kuninao,kuninao_utagawa,歌川 (Utagawa),国直 (Kuninao),https://www.wikidata.org/wiki/Q3004216,,1793-01-01T00:00:00Z,1854-12-31T23:59:59Z,,
国升 | Utagawa Kuninao,kuninao_utagawa,歌川 (Utagawa),国升 (Kuninao),https://www.wikidata.org/wiki/Q3004216,,1793-01-01T00:00:00Z,1854-01-01T00:00:00Z,,
梅蝶樓国貞 Utagawa Kunisada II (Baichoro),kunisada_baichoro,歌川 (Utagawa),国貞 (Kunisada) 二代目 (II),https://www.wikidata.org/wiki/Q3075554,,1823-01-01T00:00:00Z,1880-12-31T23:59:59Z,,
国貞〈1〉 | Utagawa Kunisada:1 (Toyokuni III),kunisada_utagawa_1,歌川 (Utagawa),国貞 Kunisada 初代 (I) / (三代目 豊国 (Toyokuni III),https://www.wikidata.org/wiki/Q467427,,1786-01-01T00:00:00Z,1865-01-12T00:00:00Z,,
歌川国郷 Utagawa Kunisato,kunisato_utagawa,歌川 (Utagawa),国郷 (Kunisato),https://www.wikidata.org/wiki/Q18508462,,1848-01-01T00:00:00Z,1858-12-31T23:59:59Z,,
歌川国輝 Utagawa Kuniteru,kuniteru_utagawa,歌川 (Utagawa),国輝 (Kunimaru),https://www.wikidata.org/wiki/Q3552728,,1808-01-01T00:00:00Z,1876-12-31T23:59:59Z,,
国輝〈2〉 | Utagawa Kuniteru:2,kuniteru_utagawa_2,歌川 (Utagawa),国輝 (Kuniteru) 二代目 (II),https://www.wikidata.org/wiki/Q11545145,,1830-01-01T00:00:00Z,1874-12-15T00:00:00Z,,
